,blkio_stats__io_merged_recursive,blkio_stats__io_queue_recursive,blkio_stats__io_service_bytes_recursive,blkio_stats__io_service_time_recursive,blkio_stats__io_serviced_recursive,blkio_stats__io_time_recursive,blkio_stats__io_wait_time_recursive,blkio_stats__sectors_recursive,cname,cpu_stats__cpu_usage__percpu_usage,cpu_stats__cpu_usage__total_usage,cpu_stats__cpu_usage__usage_in_kernelmode,cpu_stats__cpu_usage__usage_in_usermode,cpu_stats__online_cpus,cpu_stats__system_cpu_usage,cpu_stats__throttling_data__periods,cpu_stats__throttling_data__throttled_periods,cpu_stats__throttling_data__throttled_time,id,memory_stats__limit,memory_stats__max_usage,memory_stats__stats__active_anon,memory_stats__stats__active_file,memory_stats__stats__cache,memory_stats__stats__dirty,memory_stats__stats__hierarchical_memory_limit,memory_stats__stats__hierarchical_memsw_limit,memory_stats__stats__inactive_anon,memory_stats__stats__inactive_file,memory_stats__stats__mapped_file,memory_stats__stats__pgfault,memory_stats__stats__pgmajfault,memory_stats__stats__pgpgin,memory_stats__stats__pgpgout,memory_stats__stats__rss,memory_stats__stats__rss_huge,memory_stats__stats__total_active_anon,memory_stats__stats__total_active_file,memory_stats__stats__total_cache,memory_stats__stats__total_dirty,memory_stats__stats__total_inactive_anon,memory_stats__stats__total_inactive_file,memory_stats__stats__total_mapped_file,memory_stats__stats__total_pgfault,memory_stats__stats__total_pgmajfault,memory_stats__stats__total_pgpgin,memory_stats__stats__total_pgpgout,memory_stats__stats__total_rss,memory_stats__stats__total_rss_huge,memory_stats__stats__total_unevictable,memory_stats__stats__total_writeback,memory_stats__stats__unevictable,memory_stats__stats__writeback,memory_stats__usage,name,networks__eth0__rx_bytes,networks__eth0__rx_dropped,networks__eth0__rx_errors,networks__eth0__rx_packets,networks__eth0__tx_bytes,networks__eth0__tx_dropped,networks__eth0__tx_errors,networks__eth0__tx_packets,num_procs,pids_stats__current,precpu_stats__cpu_usage__percpu_usage,precpu_stats__cpu_usage__total_usage,precpu_stats__cpu_usage__usage_in_kernelmode,precpu_stats__cpu_usage__usage_in_usermode,precpu_stats__online_cpus,precpu_stats__system_cpu_usage,precpu_stats__throttling_data__periods,precpu_stats__throttling_data__throttled_periods,precpu_stats__throttling_data__throttled_time,preread,read,timestamp
0,[],[],[],[],[],[],[],[],mn.mp.output.vdu01,"[34693, 0, 73588508, 49224]",73672425,40000000,10000000,4,4419564570000000,2,0,0,bb0316469e2fbbcad9ccc4aefbce5b46e7dbec0e794c88b387efd1f71ffd494f,1073741824,11399168,958464,0,0,0,1073741824,0,0,0,0,3375,0,3433,3199,958464,0,958464,0,0,0,0,0,0,3375,0,3433,3199,958464,0,0,0,0,0,2060288,mn.mp.output.vdu01,758,0,0,9,0,0,0,0,0,2,"[34693, 0, 73588508, 49224]",73672425,40000000,10000000,4,4419560570000000,2,0,0,2019-02-19T09:45:08.782116387Z,2019-02-19T09:45:09.792010208Z,0.0
1,[],[],[],[],[],[],[],[],mn.mp.output.vdu01,"[34693, 0, 73588508, 49224]",73672425,40000000,10000000,4,4419596640000000,2,0,0,bb0316469e2fbbcad9ccc4aefbce5b46e7dbec0e794c88b387efd1f71ffd494f,1073741824,11399168,958464,0,0,0,1073741824,0,0,0,0,3375,0,3433,3199,958464,0,958464,0,0,0,0,0,0,3375,0,3433,3199,958464,0,0,0,0,0,2060288,mn.mp.output.vdu01,828,0,0,10,0,0,0,0,0,2,"[34693, 0, 73588508, 49224]",73672425,40000000,10000000,4,4419592640000000,2,0,0,2019-02-19T09:45:16.816978151Z,2019-02-19T09:45:17.819954014Z,7.070142984390259
2,[],[],[],[],[],[],[],[],mn.mp.output.vdu01,"[34693, 0, 73588508, 49224]",73672425,40000000,10000000,4,4419628700000000,2,0,0,bb0316469e2fbbcad9ccc4aefbce5b46e7dbec0e794c88b387efd1f71ffd494f,1073741824,11399168,958464,0,0,0,1073741824,0,0,0,0,3375,0,3433,3199,958464,0,958464,0,0,0,0,0,0,3375,0,3433,3199,958464,0,0,0,0,0,2060288,mn.mp.output.vdu01,828,0,0,10,0,0,0,0,0,2,"[34693, 0, 73588508, 49224]",73672425,40000000,10000000,4,4419624700000000,2,0,0,2019-02-19T09:45:24.846265079Z,2019-02-19T09:45:25.852598034Z,15.097914457321167
3,[],[],[],[],[],[],[],[],mn.mp.output.vdu01,"[34693, 0, 73588508, 49224]",73672425,40000000,10000000,4,4419660670000000,2,0,0,bb0316469e2fbbcad9ccc4aefbce5b46e7dbec0e794c88b387efd1f71ffd494f,1073741824,11399168,958464,0,0,0,1073741824,0,0,0,0,3375,0,3433,3199,958464,0,958464,0,0,0,0,0,0,3375,0,3433,3199,958464,0,0,0,0,0,2060288,mn.mp.output.vdu01,828,0,0,10,0,0,0,0,0,2,"[34693, 0, 73588508, 49224]",73672425,40000000,10000000,4,4419656680000000,2,0,0,2019-02-19T09:45:32.867037479Z,2019-02-19T09:45:33.869262477Z,23.128901720046997
4,[],[],[],[],[],[],[],[],mn.mp.output.vdu01,"[333311, 6728, 538892392, 49224]",539281655,210000000,310000000,4,4419692620000000,6,1,826856313,bb0316469e2fbbcad9ccc4aefbce5b46e7dbec0e794c88b387efd1f71ffd494f,1073741824,41619456,958464,4096,4096,4096,1073741824,0,0,0,0,63937,0,62260,62025,958464,0,958464,4096,4096,4096,0,0,0,63937,0,62260,62025,958464,0,0,0,0,0,2625536,mn.mp.output.vdu01,828,0,0,10,0,0,0,0,0,2,"[333311, 6728, 538892392, 49224]",539281655,210000000,310000000,4,4419688610000000,5,1,826856313,2019-02-19T09:45:40.888448173Z,2019-02-19T09:45:41.891534431Z,31.145025491714478
5,[],[],[],[],[],[],[],[],mn.mp.output.vdu01,"[0, 0, 62108632, 0]",62108632,40000000,20000000,4,4419756240000000,2,0,0,6b2659f7610e6605493cda9fea9e400b2d1b4264462ad76c7e74a380a7acb6a9,1073741824,2207744,966656,0,0,0,1073741824,0,0,0,0,2628,0,1298,1062,966656,0,966656,0,0,0,0,0,0,2628,0,1298,1062,966656,0,0,0,0,0,1810432,mn.mp.output.vdu01,758,0,0,9,0,0,0,0,0,2,"[0, 0, 62108632, 0]",62108632,40000000,20000000,4,4419752230000000,2,0,0,2019-02-19T09:45:56.939447335Z,2019-02-19T09:45:57.94216402Z,0.0
6,[],[],[],[],[],[],[],[],mn.mp.output.vdu01,"[0, 0, 62108632, 0]",62108632,40000000,20000000,4,4419788310000000,2,0,0,6b2659f7610e6605493cda9fea9e400b2d1b4264462ad76c7e74a380a7acb6a9,1073741824,2207744,966656,0,0,0,1073741824,0,0,0,0,2628,0,1298,1062,966656,0,966656,0,0,0,0,0,0,2628,0,1298,1062,966656,0,0,0,0,0,1810432,mn.mp.output.vdu01,828,0,0,10,0,0,0,0,0,2,"[0, 0, 62108632, 0]",62108632,40000000,20000000,4,4419784280000000,2,0,0,2019-02-19T09:46:04.962811159Z,2019-02-19T09:46:05.970112464Z,7.61816930770874
7,[],[],[],[],[],[],[],[],mn.mp.output.vdu01,"[0, 0, 62108632, 0]",62108632,40000000,20000000,4,4419820350000000,2,0,0,6b2659f7610e6605493cda9fea9e400b2d1b4264462ad76c7e74a380a7acb6a9,1073741824,2207744,966656,0,0,0,1073741824,0,0,0,0,2628,0,1298,1062,966656,0,966656,0,0,0,0,0,0,2628,0,1298,1062,966656,0,0,0,0,0,1810432,mn.mp.output.vdu01,828,0,0,10,0,0,0,0,0,2,"[0, 0, 62108632, 0]",62108632,40000000,20000000,4,4419816340000000,2,0,0,2019-02-19T09:46:12.985210264Z,2019-02-19T09:46:13.98887297Z,15.644890785217285
8,[],[],[],[],[],[],[],[],mn.mp.output.vdu01,"[0, 0, 62108632, 0]",62108632,40000000,20000000,4,4419852420000000,2,0,0,6b2659f7610e6605493cda9fea9e400b2d1b4264462ad76c7e74a380a7acb6a9,1073741824,2207744,966656,0,0,0,1073741824,0,0,0,0,2628,0,1298,1062,966656,0,966656,0,0,0,0,0,0,2628,0,1298,1062,966656,0,0,0,0,0,1810432,mn.mp.output.vdu01,828,0,0,10,0,0,0,0,0,2,"[0, 0, 62108632, 0]",62108632,40000000,20000000,4,4419848420000000,2,0,0,2019-02-19T09:46:21.016039916Z,2019-02-19T09:46:22.01830034Z,23.6656014919281
9,[],[],[],[],[],[],[],[],mn.mp.output.vdu01,"[0, 0, 523421596, 0]",523421596,180000000,340000000,4,4419884360000000,5,0,0,6b2659f7610e6605493cda9fea9e400b2d1b4264462ad76c7e74a380a7acb6a9,1073741824,41353216,966656,4096,4096,0,1073741824,0,0,0,0,63114,0,60096,59859,966656,0,966656,4096,4096,0,0,0,0,63114,0,60096,59859,966656,0,0,0,0,0,2355200,mn.mp.output.vdu01,828,0,0,10,0,0,0,0,0,2,"[0, 0, 523421596, 0]",523421596,180000000,340000000,4,4419880350000000,5,0,0,2019-02-19T09:46:29.040295043Z,2019-02-19T09:46:30.043022071Z,31.69254183769226
